Traindoor_line_tsuenwanct,37.09,97.03,5.45,0.00,0.00,0.00,1,1,1
Traindoor_line_tsuenwanct,35.47,115.66,5.47,0.00,0.00,0.00,1,1,1
Traindoor_line_tsuenwanct,34.10,131.95,5.40,0.00,0.00,0.00,1,1,1
Traindoor_line_tsuenwanct,33.58,149.69,5.55,0.00,0.00,0.00,1,1,1
Traindoor_line_tsuenwanct,32.41,168.12,5.54,0.00,0.00,0.00,1,1,1
Traindoor_line_tsuenwantw,31.98,170.63,0.55,0.00,0.00,0.00,1,1,1
Traindoor_line_tsuenwantw,33.38,150.95,0.55,0.00,0.00,0.00,1,1,1
Traindoor_line_tsuenwantw,34.46,132.41,0.40,0.00,0.00,0.00,1,1,1
Traindoor_line_tsuenwantw,35.83,116.72,0.40,0.00,0.00,0.00,1,1,1
Traindoor_line_tsuenwantw,37.40,97.00,0.44,0.00,0.00,0.00,1,1,1
Traindoor_line_tsuenwantw,38.52,79.97,0.44,0.00,0.00,0.00,1,1,1
Traindoor_line_tsuenwantw,40.08,61.05,0.40,0.00,0.00,0.00,1,1,1
Traindoor_line_tsuenwantw,41.39,43.29,0.40,0.00,0.00,0.00,1,1,1
Traindoor_line_tsuenwanct,42.61,24.85,5.54,0.00,0.00,0.00,1,1,1
Traindoor_line_tsuenwanct,43.95,7.41,5.54,0.00,0.00,0.00,1,1,1
Traindoor_line_tsuenwantw,42.68,25.46,0.40,0.00,0.00,0.00,1,1,1
Traindoor_line_tsuenwantw,44.08,6.40,0.46,0.00,0.00,0.00,1,1,1
Traindoor_line_islandcw,4.42,6.76,5.53,-179.90,0.00,0.00,1,1,1
Traindoor_line_islandcw,5.63,25.99,5.53,-179.90,0.00,0.00,1,1,1
Traindoor_line_islandcw,7.26,45.32,5.44,-179.90,0.00,0.00,1,1,1
Traindoor_line_islandcw,8.76,65.91,5.45,-179.90,0.00,0.00,1,1,1
Traindoor_line_islandcw,10.07,84.15,5.45,-179.90,0.00,0.00,1,1,1
Traindoor_line_islandcw,11.40,102.44,5.44,-179.90,0.00,0.00,1,1,1
Traindoor_line_islandcw,12.39,118.62,5.41,-179.90,0.00,0.00,1,1,1
Traindoor_line_islandcw,13.66,134.64,5.49,-179.90,0.00,0.00,1,1,1
Traindoor_line_islandcw,14.72,149.57,5.53,-179.90,0.00,0.00,1,1,1
Traindoor_line_islandcw,16.01,165.97,5.54,-179.90,0.00,0.00,1,1,1
Vending Machine,37.80,132.03,10.60,-177.57,0.00,0.00,1,1,1
Vending Machine,37.70,134.24,10.60,-178.18,0.00,0.00,1,1,1
Vending Machine,37.60,136.65,10.60,-177.43,0.00,0.00,1,1,1
Escalator_Down,22.25,110.00,5.55,89.15,0.00,0.00,3.75,1.50,5.10
Barrier,33.86,86.74,10.65,-85.74,0.00,0.00,0.28,1.00,1.46
Ticket Barrier v2,35.55,67.53,10.65,-176.34,0.00,0.00,1.4,0.32,1.1
Ticket Barrier v2,35.43,68.64,10.65,-176.34,0.00,0.00,1.4,0.32,1.1
ATM_VISA,41.99,83.04,10.65,-179.88,0.00,0.00,0.5,1.5,2
ATM_VISA,42.08,80.08,10.65,-179.88,0.00,0.00,0.5,1.5,2
ATM_VISA,42.11,77.29,10.65,-179.88,0.00,0.00,0.5,1.5,2
ATM_VISA,32.24,152.09,10.65,0.00,0.00,0.00,0.5,1.5,2
Ticket Machine ADM,17.54,52.78,10.65,0.00,0.00,0.00,0.5, 1.5, 2
Ticket Machine ADM,17.50,50.00,10.65,0.00,0.00,0.00,0.5, 1.5, 2
Ticket Machine ADM,17.50,47.00,10.65,0.00,0.00,0.00,0.5, 1.5, 2
CCTV,33.49,45.39,13.65,103.91,6.59,0.00,0,0,0
CCTV,15.02,122.67,13.65,69.57,5.00,0.00,0,0,0
CCTV,23.06,132.76,13.65,-68.21,3.87,0.00,0,0,0
CCTV,14.51,116.03,6.55,81.39,9.32,0.00,0,0,0
CCTV,32.78,124.65,6.55,-107.32,9.09,0.00,0,0,0
CCTV,38.11,46.43,6.55,112.09,9.09,0.00,0,0,0
CCTV,28.15,123.88,1.60,-93.22,8.19,0.00,0,0,0
CCTV,14.49,116.34,1.60,76.62,8.19,0.00,0,0,0
CCTV,31.99,45.89,1.60,106.03,2.54,0.00,0,0,0
